model,cue,A1,A2,A3
gemma3:4b,Cheddar,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,Parmesan,Cheese,Italy,Food
gemma3:4b,bubonic,plague,disease,rats
gemma3:4b,moo,cow,farm,animal
gemma3:4b,halt,stop,pause,finish
gemma3:4b,inebriated,drunk,alcohol,intoxicated
gemma3:4b,arachnid,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,elm,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,brie,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,pituitary,hormone,gland,brain
gemma3:4b,wick,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,perspire,sweat,heat,humidity
gemma3:4b,feline,cat,tiger,leopard
gemma3:4b,mozzarella,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,brewery,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,smooch,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,sill,gravity,stone,support
gemma3:4b,cob,hawk,bird,snake
gemma3:4b,newborn,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,physician,doctor,medicine,healthcare
gemma3:4b,teddy,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,marrow,bone,growth,tissue
gemma3:4b,impolite,rude,discourteous,No more responses
gemma3:4b,cobra,venom,snake,danger
gemma3:4b,perhaps,uncertainty,doubt,maybe
gemma3:4b,retina,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,oink,pig,swine,animal
gemma3:4b,hound,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,Sahara,Desert,Heat,Sand
gemma3:4b,not good,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,grizzly,bear,wildlife,nature
gemma3:4b,uncooked,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,maize,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,meow,cat,animal,No more responses
gemma3:4b,fir,tree,wood,forest
gemma3:4b,loaf,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,holster,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,search engine,Google,Bing,Yahoo
gemma3:4b,lager,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,inexpensive,cheap,affordable,budget
gemma3:4b,fib,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,viper,snake,poison,danger
gemma3:4b,yolk,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,grater,cheese,food,knife
gemma3:4b,heifer,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,down under,Australia,Oceania,Birds
gemma3:4b,cashew,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,steed,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,exhausted,tired,weary,sleep
gemma3:4b,comprehend,understanding,knowledge,analysis
gemma3:4b,cheerful,happy,joyful,optimistic
gemma3:4b,obese,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,itch,scratch,skin,relief
gemma3:4b,nostril,breath,smell,air
gemma3:4b,spud,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,udder,cow,milk,dairy
gemma3:4b,hare,fast,rabbit,swift
gemma3:4b,parchment,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,weep,sadness,tears,loss
gemma3:4b,perspiration,sweat,humidity,heat
gemma3:4b,despise,hatred,disgust,resentment
gemma3:4b,honeydew,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,sirloin,beef,meat,steak
gemma3:4b,serpent,danger,snake,poison
gemma3:4b,beagle,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,cod,fish,sea,ocean
gemma3:4b,tardy,late,delay,missed
gemma3:4b,stallion,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,gust,wind,storm,pressure
gemma3:4b,purr,cat,sleep,comfort
gemma3:4b,jigsaw,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,dromedary,camel,desert,animal
gemma3:4b,automobile,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,giggle,laughter,joy,amusement
gemma3:4b,grown up,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,saddle,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,educator,teacher,student,learning
gemma3:4b,Cairo,Egypt,Pyramids,History
gemma3:4b,concur,agreement,consent,harmony
gemma3:4b,weary,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,spotless,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,petal,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,misplaced,wrong,error,confusion
gemma3:4b,kitty,cat,kitten,No more responses
gemma3:4b,intoxicated,drunk,tipsy,weak
gemma3:4b,vehicle,car,bus,train
gemma3:4b,attempt,effort,try,success
gemma3:4b,unattractive,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,trousers,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,espresso,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,sufficient,enough,adequate,No more responses
gemma3:4b,orchid,beauty,fragrance,delicate
gemma3:4b,hilarious,laughter,funny,joyful
gemma3:4b,fedora,hat,suit,style
gemma3:4b,deity,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,arid,desert,dry,heat
gemma3:4b,wager,risk,bet,chance
gemma3:4b,spectacles,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,brawl,Invalid Response,Invalid Response,Invalid Response
gemma3:4b,leash,Invalid Response,Invalid Response,Invalid Response
